,hour,count,weekday,workingday,weathersit,temp,hum,windspeed
78,6,20,2.0,0.0,2.0,0.22,0.93,0.1642
79,7,20,2.0,0.0,2.0,0.24,0.87,0.0
80,8,20,2.0,0.0,2.0,0.24,0.87,0.0
81,9,20,2.0,0.0,1.0,0.28,0.81,0.0
82,10,20,2.0,0.0,1.0,0.3,0.75,0.0896
83,11,20,2.0,0.0,1.0,0.32,0.76,0.0896
84,12,18,2.0,0.0,1.0,0.4,0.5,0.3284
85,13,18,2.0,0.0,1.0,0.38,0.46,0.2985
86,14,18,2.0,0.0,1.0,0.36,0.5,0.2537
87,15,18,2.0,0.0,2.0,0.36,0.5,0.2537
88,16,18,2.0,0.0,2.0,0.32,0.57,0.2537
89,17,18,2.0,0.0,2.0,0.32,0.66,0.2537
90,18,18,2.0,0.0,2.0,0.32,0.66,0.2239
91,19,18,2.0,0.0,2.0,0.32,0.66,0.2836
92,20,18,2.0,0.0,2.0,0.3,0.65,0.19399999999999998
93,21,18,2.0,0.0,2.0,0.3,0.7,0.1642
94,22,18,2.0,0.0,2.0,0.28,0.65,0.2537
95,23,18,,,,,,
96,0,20,1.0,1.0,1.0,0.22,0.69,0.0
97,1,20,1.0,1.0,1.0,0.22,0.69,0.0
98,2,20,1.0,1.0,1.0,0.2,0.75,0.0
99,3,20,1.0,1.0,1.0,0.2,0.75,0.0
100,4,20,1.0,1.0,1.0,0.18,0.8,0.1343
101,5,20,1.0,1.0,1.0,0.2,0.75,0.0
102,6,20,1.0,1.0,1.0,0.2,0.69,0.0
103,7,20,1.0,1.0,1.0,0.22,0.69,0.0
104,8,20,1.0,1.0,2.0,0.24,0.65,0.1045
105,9,20,1.0,1.0,2.0,0.26,0.65,0.0
106,10,20,1.0,1.0,2.0,0.26,0.6,0.1642
107,11,20,1.0,1.0,2.0,0.28,0.56,0.0896
108,12,20,1.0,1.0,3.0,0.24,0.81,0.1045
109,13,20,1.0,1.0,3.0,0.24,0.87,0.1045
110,14,20,1.0,1.0,3.0,0.24,0.87,0.2239
111,15,20,1.0,1.0,3.0,0.24,0.87,0.2239
112,16,20,1.0,1.0,3.0,0.24,0.93,0.1642
113,17,20,1.0,1.0,3.0,0.24,0.93,0.1045
114,18,20,1.0,1.0,2.0,0.24,0.93,0.1343
115,19,20,1.0,1.0,3.0,0.24,0.93,0.1343
116,20,20,1.0,1.0,3.0,0.24,0.93,0.0896
117,21,20,1.0,1.0,2.0,0.24,0.93,0.0
118,22,20,1.0,1.0,3.0,0.24,0.93,0.0
119,23,20,,,,,,
120,0,20,0.0,0.0,1.0,0.22,0.47,0.2836
121,1,20,0.0,0.0,1.0,0.22,0.47,0.19399999999999998
122,2,20,0.0,0.0,1.0,0.2,0.51,0.1642
123,3,20,0.0,0.0,1.0,0.2,0.51,0.1343
124,4,20,0.0,0.0,1.0,0.2,0.47,0.1343
125,5,20,0.0,0.0,1.0,0.2,0.51,0.0
126,6,20,0.0,0.0,1.0,0.16,0.64,0.0896
127,7,20,0.0,0.0,1.0,0.16,0.64,0.0896
128,8,20,0.0,0.0,1.0,0.14,0.69,0.1045
129,9,20,0.0,0.0,1.0,0.2,0.59,0.1045
130,10,20,0.0,0.0,1.0,0.22,0.64,0.19399999999999998
131,11,20,0.0,0.0,1.0,0.24,0.52,0.19399999999999998
132,12,20,0.0,0.0,1.0,0.3,0.42,0.19399999999999998
133,13,20,0.0,0.0,1.0,0.32,0.39,0.2239
134,14,20,0.0,0.0,1.0,0.34,0.31,0.2985
135,15,20,0.0,0.0,1.0,0.34,0.34,0.1343
136,16,21,0.0,0.0,1.0,0.34,0.34,0.19399999999999998
137,17,20,0.0,0.0,1.0,0.32,0.49,0.19399999999999998
138,18,20,0.0,0.0,1.0,0.3,0.45,0.1642
139,19,20,0.0,0.0,1.0,0.3,0.42,0.0
140,20,20,0.0,0.0,1.0,0.26,0.65,0.0
141,21,20,0.0,0.0,1.0,0.24,0.7,0.0
142,22,20,0.0,0.0,1.0,0.24,0.6,0.1045
143,23,20,0.0,0.0,1.0,0.24,0.6,0.0
144,0,20,6.0,0.0,1.0,0.26,0.44,0.5821
145,1,20,6.0,0.0,1.0,0.26,0.44,0.4478
146,2,20,6.0,0.0,1.0,0.26,0.44,0.5224
147,3,20,6.0,0.0,1.0,0.26,0.48,0.4478
148,4,20,6.0,0.0,1.0,0.26,0.48,0.19399999999999998
149,5,20,6.0,0.0,1.0,0.26,0.48,0.4179
150,6,20,6.0,0.0,1.0,0.26,0.44,0.4179
151,7,20,6.0,0.0,1.0,0.26,0.44,0.4179
152,8,20,6.0,0.0,1.0,0.26,0.44,0.6119
153,9,20,6.0,0.0,1.0,0.26,0.48,0.3881
154,10,20,6.0,0.0,1.0,0.26,0.48,0.3284
155,11,20,6.0,0.0,1.0,0.28,0.41,0.3582
156,12,20,6.0,0.0,1.0,0.3,0.36,0.6567
157,13,20,6.0,0.0,1.0,0.32,0.36,0.4478
158,14,20,6.0,0.0,1.0,0.32,0.36,0.4627
159,15,20,6.0,0.0,1.0,0.32,0.33,0.5821
160,16,20,6.0,0.0,1.0,0.3,0.39,0.4478
161,17,20,6.0,0.0,1.0,0.28,0.41,0.2985
162,18,20,6.0,0.0,1.0,0.26,0.44,0.4627
163,19,20,6.0,0.0,1.0,0.24,0.48,0.3582
164,20,20,6.0,0.0,1.0,0.24,0.48,0.1642
165,21,20,6.0,0.0,1.0,0.22,0.51,0.2836
166,22,20,6.0,0.0,1.0,0.22,0.51,0.2836
167,23,20,6.0,0.0,1.0,0.22,0.51,0.19399999999999998
168,0,20,5.0,1.0,3.0,0.42,0.88,0.2985
169,1,20,5.0,1.0,3.0,0.44,0.88,0.3881
170,2,20,5.0,1.0,3.0,0.46,0.94,0.3881
171,3,20,5.0,1.0,3.0,0.46,0.94,0.3881
172,4,20,5.0,1.0,2.0,0.36,0.71,0.4925
173,5,20,5.0,1.0,2.0,0.34,0.76,0.4179
174,6,20,5.0,1.0,2.0,0.34,0.57,0.5821
175,7,20,5.0,1.0,2.0,0.32,0.57,0.19399999999999998
176,8,20,5.0,1.0,2.0,0.32,0.57,0.2836
177,9,20,5.0,1.0,2.0,0.32,0.45,0.5522
178,10,20,5.0,1.0,1.0,0.32,0.42,0.4627
179,11,20,5.0,1.0,2.0,0.32,0.42,0.4179
180,12,20,5.0,1.0,2.0,0.32,0.39,0.3582
181,13,20,5.0,1.0,2.0,0.32,0.39,0.4179
182,14,20,5.0,1.0,2.0,0.32,0.39,0.4478
183,15,20,5.0,1.0,2.0,0.3,0.42,0.3881
184,16,20,5.0,1.0,2.0,0.3,0.39,0.3284
185,17,20,5.0,1.0,2.0,0.26,0.56,0.3284
186,18,20,5.0,1.0,2.0,0.26,0.56,0.2985
187,19,20,5.0,1.0,1.0,0.28,0.45,0.2985
188,20,20,5.0,1.0,1.0,0.28,0.41,0.2537
189,21,20,5.0,1.0,1.0,0.26,0.41,0.4179
190,22,20,5.0,1.0,1.0,0.26,0.44,0.2985
191,23,20,5.0,1.0,1.0,0.26,0.44,0.2836
192,0,20,4.0,1.0,1.0,0.32,0.61,0.1343
193,1,20,4.0,1.0,1.0,0.32,0.66,0.0
194,2,20,4.0,1.0,1.0,0.32,0.66,0.0
195,3,20,4.0,1.0,2.0,0.3,0.7,0.0896
196,4,20,4.0,1.0,2.0,0.3,0.7,0.0896
197,5,20,4.0,1.0,2.0,0.3,0.7,0.1045
198,6,20,4.0,1.0,2.0,0.3,0.65,0.0
199,7,20,4.0,1.0,2.0,0.3,0.7,0.0
200,8,19,4.0,1.0,2.0,0.3,0.7,0.0
201,9,19,4.0,1.0,2.0,0.3,0.7,0.0
202,10,19,4.0,1.0,2.0,0.32,0.66,0.0
203,11,19,4.0,1.0,2.0,0.34,0.57,0.2239
204,12,19,4.0,1.0,2.0,0.36,0.53,0.1642
205,13,19,4.0,1.0,2.0,0.36,0.57,0.19399999999999998
206,14,19,4.0,1.0,2.0,0.36,0.53,0.19399999999999998
207,15,19,4.0,1.0,2.0,0.34,0.57,0.19399999999999998
208,16,19,4.0,1.0,2.0,0.34,0.53,0.3284
209,17,19,4.0,1.0,2.0,0.34,0.66,0.19399999999999998
210,18,19,4.0,1.0,2.0,0.34,0.71,0.19399999999999998
211,19,19,4.0,1.0,3.0,0.34,0.71,0.2537
212,20,19,4.0,1.0,3.0,0.34,0.76,0.1642
213,21,19,4.0,1.0,3.0,0.34,0.76,0.1642
214,22,19,4.0,1.0,3.0,0.34,0.87,0.19399999999999998
215,23,19,4.0,1.0,3.0,0.4,0.82,0.2985
216,0,20,3.0,1.0,1.0,0.3,0.61,0.0
217,1,20,3.0,1.0,1.0,0.3,0.65,0.0896
218,2,20,3.0,1.0,1.0,0.28,0.65,0.0896
219,3,20,3.0,1.0,1.0,0.26,0.75,0.1343
220,4,20,3.0,1.0,1.0,0.24,0.75,0.1343
221,5,20,3.0,1.0,1.0,0.26,0.75,0.0896
222,6,20,3.0,1.0,1.0,0.24,0.75,0.0896
223,7,20,3.0,1.0,1.0,0.26,0.75,0.1343
224,8,19,3.0,1.0,1.0,0.24,0.87,0.1045
225,9,19,3.0,1.0,1.0,0.28,0.75,0.1045
226,10,19,3.0,1.0,1.0,0.32,0.7,0.1045
227,11,19,3.0,1.0,1.0,0.4,0.54,0.2239
228,12,19,3.0,1.0,1.0,0.4,0.54,0.2836
229,13,19,3.0,1.0,1.0,0.42,0.5,0.19399999999999998
230,14,19,3.0,1.0,1.0,0.42,0.5,0.19399999999999998
231,15,19,3.0,1.0,1.0,0.42,0.5,0.2836
232,16,19,3.0,1.0,1.0,0.42,0.5,0.3582
233,17,19,3.0,1.0,1.0,0.4,0.5,0.3881
234,18,19,3.0,1.0,1.0,0.38,0.5,0.3582
235,19,20,3.0,1.0,1.0,0.38,0.5,0.3881
236,20,20,3.0,1.0,1.0,0.36,0.57,0.2239
237,21,20,3.0,1.0,1.0,0.34,0.61,0.2239
238,22,20,3.0,1.0,1.0,0.34,0.61,0.0896
239,23,21,3.0,1.0,1.0,0.32,0.66,0.1343
240,0,20,2.0,1.0,2.0,0.44,0.94,0.1343
241,1,20,2.0,1.0,2.0,0.44,0.94,0.1343
242,2,20,2.0,1.0,2.0,0.44,0.88,0.2239
243,3,20,2.0,1.0,1.0,0.42,0.88,0.19399999999999998
244,4,20,2.0,1.0,1.0,0.42,0.82,0.1642
245,5,20,2.0,1.0,1.0,0.38,0.87,0.0896
246,6,20,2.0,1.0,1.0,0.36,0.93,0.1642
247,7,20,2.0,1.0,1.0,0.36,0.93,0.1343
248,8,20,2.0,1.0,1.0,0.38,0.94,0.0
249,9,20,2.0,1.0,1.0,0.4,0.87,0.0896
250,10,20,2.0,1.0,1.0,0.44,0.77,0.0896
251,11,19,2.0,1.0,1.0,0.48,0.63,0.2239
252,12,19,2.0,1.0,3.0,0.48,0.48,0.2537
253,13,19,2.0,1.0,1.0,0.5,0.42,0.2836
254,14,18,2.0,1.0,1.0,0.46,0.47,0.4478
255,15,18,2.0,1.0,1.0,0.46,0.44,0.4925
256,16,16,2.0,1.0,1.0,0.44,0.41,0.4627
257,17,17,2.0,1.0,1.0,0.4,0.47,0.4478
258,18,17,2.0,1.0,1.0,0.38,0.46,0.3284
259,19,16,2.0,1.0,1.0,0.38,0.46,0.3881
260,20,16,2.0,1.0,1.0,0.36,0.5,0.2537
261,21,16,2.0,1.0,1.0,0.36,0.5,0.2239
262,22,15,2.0,1.0,1.0,0.34,0.49,0.0
263,23,15,2.0,1.0,1.0,0.34,0.49,0.0896
264,0,20,1.0,1.0,2.0,0.38,0.87,0.0
265,1,20,1.0,1.0,2.0,0.38,0.87,0.1045
266,2,20,1.0,1.0,2.0,0.38,0.94,0.0
267,3,20,1.0,1.0,2.0,0.36,0.93,0.0
268,4,20,1.0,1.0,3.0,0.36,1.0,0.0
269,5,20,1.0,1.0,2.0,0.38,0.87,0.0
270,6,20,1.0,1.0,2.0,0.36,0.93,0.1343
271,7,20,1.0,1.0,2.0,0.36,0.93,0.1343
272,8,19,1.0,1.0,2.0,0.38,0.87,0.1045
273,9,19,1.0,1.0,2.0,0.4,0.87,0.0
274,10,19,1.0,1.0,2.0,0.38,0.87,0.0896
275,11,19,1.0,1.0,2.0,0.4,0.87,0.0896
276,12,19,1.0,1.0,2.0,0.4,0.87,0.0
277,13,19,1.0,1.0,2.0,0.4,0.87,0.1343
278,14,19,1.0,1.0,2.0,0.4,0.87,0.0896
279,15,19,1.0,1.0,2.0,0.42,0.88,0.0
280,16,19,1.0,1.0,3.0,0.4,0.94,0.2537
281,17,19,1.0,1.0,2.0,0.4,0.94,0.2537
282,18,19,1.0,1.0,2.0,0.4,0.94,0.0896
283,19,19,1.0,1.0,2.0,0.42,0.88,0.1343
284,20,19,1.0,1.0,2.0,0.42,0.94,0.2537
285,21,19,1.0,1.0,2.0,0.42,0.94,0.1343
286,22,19,1.0,1.0,2.0,0.42,0.94,0.1343
287,23,19,1.0,1.0,3.0,0.42,0.94,0.2239
288,0,20,0.0,0.0,2.0,0.36,0.62,0.0
289,1,20,0.0,0.0,3.0,0.34,0.76,0.1045
290,2,20,0.0,0.0,2.0,0.34,0.87,0.0896
291,3,20,0.0,0.0,2.0,0.34,0.87,0.19399999999999998
292,4,20,0.0,0.0,2.0,0.34,0.87,0.0
293,5,20,0.0,0.0,2.0,0.34,0.87,0.0
294,6,20,0.0,0.0,2.0,0.34,0.87,0.0
295,7,20,0.0,0.0,2.0,0.34,0.87,0.0896
296,8,20,0.0,0.0,2.0,0.36,0.87,0.1343
297,9,20,0.0,0.0,2.0,0.36,0.87,0.1343
298,10,19,0.0,0.0,2.0,0.36,0.87,0.1343
299,11,16,0.0,0.0,2.0,0.36,0.87,0.1343
300,12,19,0.0,0.0,2.0,0.38,0.82,0.19399999999999998
301,13,19,0.0,0.0,2.0,0.38,0.76,0.19399999999999998
302,14,19,0.0,0.0,2.0,0.38,0.76,0.1343
303,15,20,0.0,0.0,2.0,0.38,0.82,0.1045
304,16,20,0.0,0.0,2.0,0.38,0.82,0.1045
305,17,22,0.0,0.0,2.0,0.38,0.82,0.1045
306,18,22,0.0,0.0,3.0,0.38,0.82,0.1045
307,19,22,0.0,0.0,1.0,0.36,0.93,0.1343
308,20,22,0.0,0.0,2.0,0.38,0.82,0.0
309,21,22,0.0,0.0,2.0,0.36,0.93,0.0
310,22,22,0.0,0.0,2.0,0.4,0.82,0.19399999999999998
311,23,22,0.0,0.0,2.0,0.36,0.93,0.1343
312,0,20,6.0,0.0,1.0,0.3,0.7,0.0
313,1,20,6.0,0.0,2.0,0.26,0.81,0.0896
314,2,20,6.0,0.0,1.0,0.26,0.81,0.0
315,3,20,6.0,0.0,2.0,0.24,0.81,0.0
316,4,20,6.0,0.0,2.0,0.24,0.87,0.1045
317,5,20,6.0,0.0,2.0,0.26,0.75,0.0
318,6,20,6.0,0.0,2.0,0.24,0.75,0.0
319,7,20,6.0,0.0,2.0,0.24,0.75,0.0896
320,8,20,6.0,0.0,2.0,0.26,0.75,0.0896
321,9,20,6.0,0.0,1.0,0.26,0.75,0.1045
322,10,20,6.0,0.0,1.0,0.32,0.61,0.1642
323,11,20,6.0,0.0,1.0,0.34,0.61,0.0896
324,12,20,6.0,0.0,1.0,0.38,0.5,0.0896
325,13,20,6.0,0.0,1.0,0.38,0.54,0.2537
326,14,21,6.0,0.0,1.0,0.4,0.5,0.1642
327,15,21,6.0,0.0,1.0,0.42,0.47,0.0
328,16,20,6.0,0.0,1.0,0.4,0.5,0.1343
329,17,20,6.0,0.0,1.0,0.4,0.5,0.2239
330,18,20,6.0,0.0,1.0,0.38,0.58,0.1642
331,19,20,6.0,0.0,1.0,0.36,0.62,0.1343
332,20,20,6.0,0.0,2.0,0.36,0.57,0.19399999999999998
333,21,20,6.0,0.0,1.0,0.36,0.62,0.1343
334,22,20,6.0,0.0,1.0,0.36,0.62,0.19399999999999998
335,23,20,6.0,0.0,2.0,0.36,0.62,0.1343
336,0,20,5.0,1.0,1.0,0.22,0.64,0.0896
337,1,20,5.0,1.0,1.0,0.22,0.69,0.0896
338,2,20,5.0,1.0,1.0,0.22,0.69,0.0
339,3,20,5.0,1.0,1.0,0.2,0.69,0.1045
340,4,20,5.0,1.0,1.0,0.2,0.75,0.0896
341,5,20,5.0,1.0,1.0,0.2,0.69,0.1045
342,6,20,5.0,1.0,1.0,0.16,0.8,0.1045
343,7,20,5.0,1.0,1.0,0.2,0.72,0.1045
344,8,19,5.0,1.0,1.0,0.2,0.69,0.0896
345,9,19,5.0,1.0,1.0,0.24,0.75,0.1343
346,10,19,5.0,1.0,1.0,0.26,0.81,0.19399999999999998
347,11,19,5.0,1.0,1.0,0.32,0.65,0.19399999999999998
348,12,19,5.0,1.0,1.0,0.36,0.5,0.19399999999999998
349,13,19,5.0,1.0,1.0,0.36,0.5,0.2239
350,14,19,5.0,1.0,1.0,0.4,0.43,0.19399999999999998
351,15,19,5.0,1.0,1.0,0.4,0.47,0.1642
352,16,20,5.0,1.0,1.0,0.38,0.54,0.19399999999999998
353,17,21,5.0,1.0,1.0,0.34,0.57,0.1642
354,18,21,5.0,1.0,1.0,0.36,0.46,0.1343
355,19,21,5.0,1.0,1.0,0.34,0.53,0.0896
356,20,21,5.0,1.0,1.0,0.32,0.61,0.1343
357,21,21,5.0,1.0,1.0,0.3,0.75,0.1642
358,22,21,5.0,1.0,1.0,0.28,0.75,0.1045
359,23,21,5.0,1.0,1.0,0.28,0.75,0.0896
360,0,20,4.0,1.0,2.0,0.28,0.52,0.2239
361,1,20,4.0,1.0,2.0,0.28,0.52,0.2836
362,2,20,4.0,1.0,2.0,0.26,0.56,0.2537
363,3,20,4.0,1.0,2.0,0.26,0.56,0.2836
364,4,20,4.0,1.0,2.0,0.26,0.56,0.19399999999999998
365,5,20,4.0,1.0,2.0,0.26,0.56,0.1642
366,6,20,4.0,1.0,1.0,0.26,0.56,0.2537
367,7,20,4.0,1.0,1.0,0.24,0.6,0.2239
368,8,20,4.0,1.0,1.0,0.24,0.6,0.19399999999999998
369,9,20,4.0,1.0,1.0,0.28,0.52,0.2537
370,10,20,4.0,1.0,1.0,0.32,0.45,0.2836
371,11,20,4.0,1.0,1.0,0.34,0.42,0.2537
372,12,20,4.0,1.0,1.0,0.36,0.4,0.2537
373,13,20,4.0,1.0,1.0,0.36,0.34,0.19399999999999998
374,14,20,4.0,1.0,1.0,0.36,0.34,0.1642
375,15,20,4.0,1.0,1.0,0.36,0.34,0.1343
376,16,20,4.0,1.0,1.0,0.34,0.39,0.1045
377,17,20,4.0,1.0,1.0,0.32,0.42,0.1045
378,18,20,4.0,1.0,1.0,0.32,0.42,0.1045
379,19,20,4.0,1.0,1.0,0.3,0.45,0.1642
380,20,20,4.0,1.0,1.0,0.3,0.45,0.0
381,21,20,4.0,1.0,1.0,0.28,0.48,0.0
382,22,20,4.0,1.0,1.0,0.26,0.6,0.0896
383,23,20,4.0,1.0,1.0,0.26,0.6,0.0
384,0,20,3.0,1.0,1.0,0.3,0.52,0.1642
385,1,20,3.0,1.0,1.0,0.28,0.61,0.2239
386,2,20,3.0,1.0,1.0,0.28,0.56,0.1642
387,3,20,3.0,1.0,1.0,0.26,0.6,0.1343
388,4,20,3.0,1.0,1.0,0.26,0.6,0.0
389,5,20,3.0,1.0,1.0,0.26,0.6,0.19399999999999998
390,6,20,3.0,1.0,2.0,0.26,0.6,0.2537
391,7,20,3.0,1.0,2.0,0.26,0.6,0.19399999999999998
392,8,21,3.0,1.0,2.0,0.26,0.65,0.1642
393,9,21,3.0,1.0,2.0,0.28,0.61,0.1343
394,10,21,3.0,1.0,2.0,0.3,0.56,0.1642
395,11,21,3.0,1.0,2.0,0.32,0.49,0.2239
396,12,21,3.0,1.0,2.0,0.34,0.42,0.0
397,13,21,3.0,1.0,2.0,0.34,0.42,0.0
398,14,19,3.0,1.0,2.0,0.34,0.46,0.0
399,15,19,3.0,1.0,2.0,0.34,0.46,0.1045
400,16,19,3.0,1.0,2.0,0.34,0.46,0.1343
401,17,21,3.0,1.0,2.0,0.32,0.53,0.2239
402,18,21,3.0,1.0,2.0,0.32,0.49,0.2239
403,19,20,3.0,1.0,2.0,0.3,0.56,0.2239
404,20,20,3.0,1.0,1.0,0.3,0.52,0.2836
405,21,19,3.0,1.0,2.0,0.3,0.52,0.2537
406,22,19,3.0,1.0,2.0,0.3,0.52,0.2239
407,23,19,3.0,1.0,2.0,0.28,0.56,0.2239
408,0,20,2.0,1.0,3.0,0.46,0.77,0.4627
409,1,20,2.0,1.0,1.0,0.42,0.71,0.4478
410,2,20,2.0,1.0,2.0,0.4,0.66,0.3284
411,3,20,2.0,1.0,3.0,0.36,0.76,0.2836
412,4,20,2.0,1.0,2.0,0.34,0.76,0.2836
413,5,19,2.0,1.0,3.0,0.34,0.71,0.3284
414,6,19,2.0,1.0,2.0,0.34,0.71,0.2985
415,7,19,2.0,1.0,1.0,0.34,0.66,0.4179
416,8,20,2.0,1.0,2.0,0.34,0.61,0.2985
417,9,20,2.0,1.0,1.0,0.34,0.61,0.3881
418,10,20,2.0,1.0,1.0,0.36,0.57,0.3284
419,11,21,2.0,1.0,2.0,0.36,0.53,0.3582
420,12,21,2.0,1.0,2.0,0.36,0.53,0.4478
421,13,21,2.0,1.0,2.0,0.38,0.5,0.2239
422,14,21,2.0,1.0,2.0,0.38,0.5,0.2239
423,15,21,2.0,1.0,2.0,0.38,0.5,0.2239
424,16,21,2.0,1.0,2.0,0.38,0.5,0.2239
425,17,21,2.0,1.0,1.0,0.32,0.53,0.2239
426,18,23,2.0,1.0,1.0,0.32,0.53,0.2239
427,19,23,2.0,1.0,1.0,0.32,0.53,0.2239
428,20,23,2.0,1.0,1.0,0.32,0.53,0.2239
429,21,23,2.0,1.0,1.0,0.32,0.53,0.19399999999999998
430,22,24,2.0,1.0,1.0,0.3,0.56,0.2239
431,23,24,2.0,1.0,1.0,0.3,0.52,0.2239
432,0,20,1.0,1.0,3.0,0.36,1.0,0.0896
433,1,20,1.0,1.0,2.0,0.36,1.0,0.0
434,2,20,1.0,1.0,2.0,0.38,0.94,0.1045
435,3,20,1.0,1.0,2.0,0.38,0.94,0.1045
436,4,20,1.0,1.0,2.0,0.38,0.94,0.1045
437,5,20,1.0,1.0,2.0,0.38,0.94,0.1045
438,6,20,1.0,1.0,2.0,0.38,0.94,0.1642
439,7,20,1.0,1.0,2.0,0.38,0.94,0.2537
440,8,20,1.0,1.0,2.0,0.42,1.0,0.2537
441,9,20,1.0,1.0,2.0,0.42,1.0,0.2239
442,10,20,1.0,1.0,2.0,0.44,0.94,0.2239
443,11,20,1.0,1.0,3.0,0.46,0.94,0.2239
444,12,20,1.0,1.0,3.0,0.44,1.0,0.2239
445,13,20,1.0,1.0,3.0,0.44,1.0,0.2239
446,14,20,1.0,1.0,2.0,0.5,0.94,0.2239
