,Inflow,,count,freq,hour,hum,outflow,temp,weathersit,weekday,windspeed,workingday
78,0,,20,0,6,0.93,0,0.22,2,2,0.1642,0
79,0,,20,0,7,0.87,0,0.24,2,2,0,0
80,0,,20,0,8,0.87,0,0.24,2,2,0,0
81,0,,20,0,9,0.81,0,0.28,1,2,0,0
82,0,,20,0,10,0.75,0,0.3,1,2,0.0896,0
83,0,,20,0,11,0.76,0,0.32,1,2,0.0896,0
84,0,,18,2,12,0.5,2,0.4,1,2,0.3284,0
85,0,,18,0,13,0.46,0,0.38,1,2,0.2985,0
86,0,,18,0,14,0.5,0,0.36,1,2,0.2537,0
87,0,,18,0,15,0.5,0,0.36,2,2,0.2537,0
88,0,,18,0,16,0.57,0,0.32,2,2,0.2537,0
89,0,,18,0,17,0.66,0,0.32,2,2,0.2537,0
90,0,,18,0,18,0.66,0,0.32,2,2,0.2239,0
91,0,,18,0,19,0.66,0,0.32,2,2,0.2836,0
92,0,,18,0,20,0.65,0,0.3,2,2,0.194,0
93,0,,18,0,21,0.7,0,0.3,2,2,0.1642,0
94,0,,18,0,22,0.65,0,0.28,2,2,0.2537,0
95,0,,18,0,23,,0,,,,,
96,0,,20,0,0,0.69,0,0.22,1,1,0,1
97,0,,20,0,1,0.69,0,0.22,1,1,0,1
98,0,,20,0,2,0.75,0,0.2,1,1,0,1
99,0,,20,0,3,0.75,0,0.2,1,1,0,1
100,0,,20,0,4,0.8,0,0.18,1,1,0.1343,1
101,0,,20,0,5,0.75,0,0.2,1,1,0,1
102,0,,20,0,6,0.69,0,0.2,1,1,0,1
103,0,,20,0,7,0.69,0,0.22,1,1,0,1
104,0,,20,0,8,0.65,0,0.24,2,1,0.1045,1
105,0,,20,0,9,0.65,0,0.26,2,1,0,1
106,0,,20,0,10,0.6,0,0.26,2,1,0.1642,1
107,0,,20,0,11,0.56,0,0.28,2,1,0.0896,1
108,0,,20,0,12,0.81,0,0.24,3,1,0.1045,1
109,0,,20,0,13,0.87,0,0.24,3,1,0.1045,1
110,0,,20,0,14,0.87,0,0.24,3,1,0.2239,1
111,0,,20,0,15,0.87,0,0.24,3,1,0.2239,1
112,0,,20,0,16,0.93,0,0.24,3,1,0.1642,1
113,0,,20,0,17,0.93,0,0.24,3,1,0.1045,1
114,0,,20,0,18,0.93,0,0.24,2,1,0.1343,1
115,0,,20,0,19,0.93,0,0.24,3,1,0.1343,1
116,0,,20,0,20,0.93,0,0.24,3,1,0.0896,1
117,0,,20,0,21,0.93,0,0.24,2,1,0,1
118,0,,20,0,22,0.93,0,0.24,3,1,0,1
119,0,,20,0,23,,0,,,,,
120,0,,20,0,0,0.47,0,0.22,1,0,0.2836,0
121,0,,20,0,1,0.47,0,0.22,1,0,0.194,0
122,0,,20,0,2,0.51,0,0.2,1,0,0.1642,0
123,0,,20,0,3,0.51,0,0.2,1,0,0.1343,0
124,0,,20,0,4,0.47,0,0.2,1,0,0.1343,0
125,0,,20,0,5,0.51,0,0.2,1,0,0,0
126,0,,20,0,6,0.64,0,0.16,1,0,0.0896,0
127,0,,20,0,7,0.64,0,0.16,1,0,0.0896,0
128,0,,20,0,8,0.69,0,0.14,1,0,0.1045,0
129,0,,20,0,9,0.59,0,0.2,1,0,0.1045,0
130,0,,20,0,10,0.64,0,0.22,1,0,0.194,0
131,0,,20,0,11,0.52,0,0.24,1,0,0.194,0
132,0,,20,0,12,0.42,0,0.3,1,0,0.194,0
133,0,,20,0,13,0.39,0,0.32,1,0,0.2239,0
134,0,,20,0,14,0.31,0,0.34,1,0,0.2985,0
135,0,,20,0,15,0.34,0,0.34,1,0,0.1343,0
136,1,,21,-1,16,0.34,0,0.34,1,0,0.194,0
137,0,,20,1,17,0.49,1,0.32,1,0,0.194,0
138,0,,20,0,18,0.45,0,0.3,1,0,0.1642,0
139,0,,20,0,19,0.42,0,0.3,1,0,0,0
140,0,,20,0,20,0.65,0,0.26,1,0,0,0
141,0,,20,0,21,0.7,0,0.24,1,0,0,0
142,0,,20,0,22,0.6,0,0.24,1,0,0.1045,0
143,0,,20,0,23,0.6,0,0.24,1,0,0,0
144,0,,20,0,0,0.44,0,0.26,1,6,0.5821,0
145,0,,20,0,1,0.44,0,0.26,1,6,0.4478,0
146,0,,20,0,2,0.44,0,0.26,1,6,0.5224,0
147,0,,20,0,3,0.48,0,0.26,1,6,0.4478,0
148,0,,20,0,4,0.48,0,0.26,1,6,0.194,0
149,0,,20,0,5,0.48,0,0.26,1,6,0.4179,0
150,0,,20,0,6,0.44,0,0.26,1,6,0.4179,0
151,0,,20,0,7,0.44,0,0.26,1,6,0.4179,0
152,0,,20,0,8,0.44,0,0.26,1,6,0.6119,0
153,0,,20,0,9,0.48,0,0.26,1,6,0.3881,0
154,0,,20,0,10,0.48,0,0.26,1,6,0.3284,0
155,0,,20,0,11,0.41,0,0.28,1,6,0.3582,0
156,0,,20,0,12,0.36,0,0.3,1,6,0.6567,0
157,0,,20,0,13,0.36,0,0.32,1,6,0.4478,0
158,0,,20,0,14,0.36,0,0.32,1,6,0.4627,0
159,0,,20,0,15,0.33,0,0.32,1,6,0.5821,0
160,0,,20,0,16,0.39,0,0.3,1,6,0.4478,0
161,0,,20,0,17,0.41,0,0.28,1,6,0.2985,0
162,0,,20,0,18,0.44,0,0.26,1,6,0.4627,0
163,0,,20,0,19,0.48,0,0.24,1,6,0.3582,0
164,0,,20,0,20,0.48,0,0.24,1,6,0.1642,0
165,0,,20,0,21,0.51,0,0.22,1,6,0.2836,0
166,0,,20,0,22,0.51,0,0.22,1,6,0.2836,0
167,0,,20,0,23,0.51,0,0.22,1,6,0.194,0
168,0,,20,0,0,0.88,0,0.42,3,5,0.2985,1
169,0,,20,0,1,0.88,0,0.44,3,5,0.3881,1
170,0,,20,0,2,0.94,0,0.46,3,5,0.3881,1
171,0,,20,0,3,0.94,0,0.46,3,5,0.3881,1
172,0,,20,0,4,0.71,0,0.36,2,5,0.4925,1
173,0,,20,0,5,0.76,0,0.34,2,5,0.4179,1
174,0,,20,0,6,0.57,0,0.34,2,5,0.5821,1
175,0,,20,0,7,0.57,0,0.32,2,5,0.194,1
176,0,,20,0,8,0.57,0,0.32,2,5,0.2836,1
177,0,,20,0,9,0.45,0,0.32,2,5,0.5522,1
178,0,,20,0,10,0.42,0,0.32,1,5,0.4627,1
179,0,,20,0,11,0.42,0,0.32,2,5,0.4179,1
180,1,,20,0,12,0.39,1,0.32,2,5,0.3582,1
181,0,,20,0,13,0.39,0,0.32,2,5,0.4179,1
182,0,,20,0,14,0.39,0,0.32,2,5,0.4478,1
183,0,,20,0,15,0.42,0,0.3,2,5,0.3881,1
184,0,,20,0,16,0.39,0,0.3,2,5,0.3284,1
185,0,,20,0,17,0.56,0,0.26,2,5,0.3284,1
186,0,,20,0,18,0.56,0,0.26,2,5,0.2985,1
187,0,,20,0,19,0.45,0,0.28,1,5,0.2985,1
188,0,,20,0,20,0.41,0,0.28,1,5,0.2537,1
189,0,,20,0,21,0.41,0,0.26,1,5,0.4179,1
190,0,,20,0,22,0.44,0,0.26,1,5,0.2985,1
191,0,,20,0,23,0.44,0,0.26,1,5,0.2836,1
192,0,,20,0,0,0.61,0,0.32,1,4,0.1343,1
193,0,,20,0,1,0.66,0,0.32,1,4,0,1
194,0,,20,0,2,0.66,0,0.32,1,4,0,1
195,0,,20,0,3,0.7,0,0.3,2,4,0.0896,1
196,0,,20,0,4,0.7,0,0.3,2,4,0.0896,1
197,0,,20,0,5,0.7,0,0.3,2,4,0.1045,1
198,0,,20,0,6,0.65,0,0.3,2,4,0,1
199,0,,20,0,7,0.7,0,0.3,2,4,0,1
200,0,,19,1,8,0.7,1,0.3,2,4,0,1
201,0,,19,0,9,0.7,0,0.3,2,4,0,1
202,0,,19,0,10,0.66,0,0.32,2,4,0,1
203,0,,19,0,11,0.57,0,0.34,2,4,0.2239,1
204,0,,19,0,12,0.53,0,0.36,2,4,0.1642,1
205,0,,19,0,13,0.57,0,0.36,2,4,0.194,1
206,0,,19,0,14,0.53,0,0.36,2,4,0.194,1
207,0,,19,0,15,0.57,0,0.34,2,4,0.194,1
208,0,,19,0,16,0.53,0,0.34,2,4,0.3284,1
209,0,,19,0,17,0.66,0,0.34,2,4,0.194,1
210,0,,19,0,18,0.71,0,0.34,2,4,0.194,1
211,0,,19,0,19,0.71,0,0.34,3,4,0.2537,1
212,0,,19,0,20,0.76,0,0.34,3,4,0.1642,1
213,0,,19,0,21,0.76,0,0.34,3,4,0.1642,1
214,0,,19,0,22,0.87,0,0.34,3,4,0.194,1
215,0,,19,0,23,0.82,0,0.4,3,4,0.2985,1
216,0,,20,0,0,0.61,0,0.3,1,3,0,1
217,0,,20,0,1,0.65,0,0.3,1,3,0.0896,1
218,0,,20,0,2,0.65,0,0.28,1,3,0.0896,1
219,0,,20,0,3,0.75,0,0.26,1,3,0.1343,1
220,0,,20,0,4,0.75,0,0.24,1,3,0.1343,1
221,0,,20,0,5,0.75,0,0.26,1,3,0.0896,1
222,0,,20,0,6,0.75,0,0.24,1,3,0.0896,1
223,0,,20,0,7,0.75,0,0.26,1,3,0.1343,1
224,0,,19,1,8,0.87,1,0.24,1,3,0.1045,1
225,0,,19,0,9,0.75,0,0.28,1,3,0.1045,1
226,0,,19,0,10,0.7,0,0.32,1,3,0.1045,1
227,0,,19,0,11,0.54,0,0.4,1,3,0.2239,1
228,0,,19,0,12,0.54,0,0.4,1,3,0.2836,1
229,0,,19,0,13,0.5,0,0.42,1,3,0.194,1
230,0,,19,0,14,0.5,0,0.42,1,3,0.194,1
231,0,,19,0,15,0.5,0,0.42,1,3,0.2836,1
232,1,,19,0,16,0.5,1,0.42,1,3,0.3582,1
233,0,,19,0,17,0.5,0,0.4,1,3,0.3881,1
234,0,,19,0,18,0.5,0,0.38,1,3,0.3582,1
235,1,,20,-1,19,0.5,0,0.38,1,3,0.3881,1
236,0,,20,0,20,0.57,0,0.36,1,3,0.2239,1
237,0,,20,0,21,0.61,0,0.34,1,3,0.2239,1
238,0,,20,0,22,0.61,0,0.34,1,3,0.0896,1
239,1,,21,-1,23,0.66,0,0.32,1,3,0.1343,1
240,0,,20,0,0,0.94,0,0.44,2,2,0.1343,1
241,0,,20,0,1,0.94,0,0.44,2,2,0.1343,1
242,0,,20,0,2,0.88,0,0.44,2,2,0.2239,1
243,0,,20,0,3,0.88,0,0.42,1,2,0.194,1
244,0,,20,0,4,0.82,0,0.42,1,2,0.1642,1
245,0,,20,0,5,0.87,0,0.38,1,2,0.0896,1
246,0,,20,0,6,0.93,0,0.36,1,2,0.1642,1
247,0,,20,0,7,0.93,0,0.36,1,2,0.1343,1
248,0,,20,0,8,0.94,0,0.38,1,2,0,1
249,0,,20,0,9,0.87,0,0.4,1,2,0.0896,1
250,0,,20,0,10,0.77,0,0.44,1,2,0.0896,1
251,0,,19,1,11,0.63,1,0.48,1,2,0.2239,1
252,0,,19,0,12,0.48,0,0.48,3,2,0.2537,1
253,0,,19,0,13,0.42,0,0.5,1,2,0.2836,1
254,0,,18,1,14,0.47,1,0.46,1,2,0.4478,1
255,0,,18,0,15,0.44,0,0.46,1,2,0.4925,1
256,0,,16,2,16,0.41,2,0.44,1,2,0.4627,1
257,1,,17,-1,17,0.47,0,0.4,1,2,0.4478,1
258,0,,17,0,18,0.46,0,0.38,1,2,0.3284,1
259,0,,16,1,19,0.46,1,0.38,1,2,0.3881,1
260,0,,16,0,20,0.5,0,0.36,1,2,0.2537,1
261,0,,16,0,21,0.5,0,0.36,1,2,0.2239,1
262,0,,15,1,22,0.49,1,0.34,1,2,0,1
263,0,,15,0,23,0.49,0,0.34,1,2,0.0896,1
264,0,,20,0,0,0.87,0,0.38,2,1,0,1
265,0,,20,0,1,0.87,0,0.38,2,1,0.1045,1
266,0,,20,0,2,0.94,0,0.38,2,1,0,1
267,0,,20,0,3,0.93,0,0.36,2,1,0,1
268,0,,20,0,4,1,0,0.36,3,1,0,1
269,0,,20,0,5,0.87,0,0.38,2,1,0,1
270,0,,20,0,6,0.93,0,0.36,2,1,0.1343,1
271,0,,20,0,7,0.93,0,0.36,2,1,0.1343,1
272,0,,19,1,8,0.87,1,0.38,2,1,0.1045,1
273,0,,19,0,9,0.87,0,0.4,2,1,0,1
274,0,,19,0,10,0.87,0,0.38,2,1,0.0896,1
275,0,,19,0,11,0.87,0,0.4,2,1,0.0896,1
276,0,,19,0,12,0.87,0,0.4,2,1,0,1
277,0,,19,0,13,0.87,0,0.4,2,1,0.1343,1
278,0,,19,0,14,0.87,0,0.4,2,1,0.0896,1
279,0,,19,0,15,0.88,0,0.42,2,1,0,1
280,0,,19,0,16,0.94,0,0.4,3,1,0.2537,1
281,0,,19,0,17,0.94,0,0.4,2,1,0.2537,1
282,0,,19,0,18,0.94,0,0.4,2,1,0.0896,1
283,0,,19,0,19,0.88,0,0.42,2,1,0.1343,1
284,0,,19,0,20,0.94,0,0.42,2,1,0.2537,1
285,0,,19,0,21,0.94,0,0.42,2,1,0.1343,1
286,0,,19,0,22,0.94,0,0.42,2,1,0.1343,1
287,0,,19,0,23,0.94,0,0.42,3,1,0.2239,1
288,0,,20,0,0,0.62,0,0.36,2,0,0,0
289,0,,20,0,1,0.76,0,0.34,3,0,0.1045,0
290,0,,20,0,2,0.87,0,0.34,2,0,0.0896,0
291,0,,20,0,3,0.87,0,0.34,2,0,0.194,0
292,0,,20,0,4,0.87,0,0.34,2,0,0,0
293,0,,20,0,5,0.87,0,0.34,2,0,0,0
294,0,,20,0,6,0.87,0,0.34,2,0,0,0
295,0,,20,0,7,0.87,0,0.34,2,0,0.0896,0
296,0,,20,0,8,0.87,0,0.36,2,0,0.1343,0
297,0,,20,0,9,0.87,0,0.36,2,0,0.1343,0
298,0,,19,1,10,0.87,1,0.36,2,0,0.1343,0
299,0,,16,3,11,0.87,3,0.36,2,0,0.1343,0
300,3,,19,-3,12,0.82,0,0.38,2,0,0.194,0
301,0,,19,0,13,0.76,0,0.38,2,0,0.194,0
302,0,,19,0,14,0.76,0,0.38,2,0,0.1343,0
303,1,,20,-1,15,0.82,0,0.38,2,0,0.1045,0
304,0,,20,0,16,0.82,0,0.38,2,0,0.1045,0
305,2,,22,-2,17,0.82,0,0.38,2,0,0.1045,0
306,0,,22,0,18,0.82,0,0.38,3,0,0.1045,0
307,0,,22,0,19,0.93,0,0.36,1,0,0.1343,0
308,0,,22,0,20,0.82,0,0.38,2,0,0,0
309,0,,22,0,21,0.93,0,0.36,2,0,0,0
310,0,,22,0,22,0.82,0,0.4,2,0,0.194,0
311,0,,22,0,23,0.93,0,0.36,2,0,0.1343,0
312,0,,20,0,0,0.7,0,0.3,1,6,0,0
313,0,,20,0,1,0.81,0,0.26,2,6,0.0896,0
314,0,,20,0,2,0.81,0,0.26,1,6,0,0
315,0,,20,0,3,0.81,0,0.24,2,6,0,0
316,0,,20,0,4,0.87,0,0.24,2,6,0.1045,0
317,0,,20,0,5,0.75,0,0.26,2,6,0,0
318,0,,20,0,6,0.75,0,0.24,2,6,0,0
319,0,,20,0,7,0.75,0,0.24,2,6,0.0896,0
320,0,,20,0,8,0.75,0,0.26,2,6,0.0896,0
321,0,,20,0,9,0.75,0,0.26,1,6,0.1045,0
322,0,,20,0,10,0.61,0,0.32,1,6,0.1642,0
323,0,,20,0,11,0.61,0,0.34,1,6,0.0896,0
324,0,,20,0,12,0.5,0,0.38,1,6,0.0896,0
325,0,,20,0,13,0.54,0,0.38,1,6,0.2537,0
326,1,,21,-1,14,0.5,0,0.4,1,6,0.1642,0
327,0,,21,0,15,0.47,0,0.42,1,6,0,0
328,1,,20,1,16,0.5,2,0.4,1,6,0.1343,0
329,0,,20,0,17,0.5,0,0.4,1,6,0.2239,0
330,0,,20,0,18,0.58,0,0.38,1,6,0.1642,0
331,0,,20,0,19,0.62,0,0.36,1,6,0.1343,0
332,0,,20,0,20,0.57,0,0.36,2,6,0.194,0
333,0,,20,0,21,0.62,0,0.36,1,6,0.1343,0
334,0,,20,0,22,0.62,0,0.36,1,6,0.194,0
335,0,,20,0,23,0.62,0,0.36,2,6,0.1343,0
336,0,,20,0,0,0.64,0,0.22,1,5,0.0896,1
337,0,,20,0,1,0.69,0,0.22,1,5,0.0896,1
338,0,,20,0,2,0.69,0,0.22,1,5,0,1
339,0,,20,0,3,0.69,0,0.2,1,5,0.1045,1
340,0,,20,0,4,0.75,0,0.2,1,5,0.0896,1
341,0,,20,0,5,0.69,0,0.2,1,5,0.1045,1
342,0,,20,0,6,0.8,0,0.16,1,5,0.1045,1
343,0,,20,0,7,0.72,0,0.2,1,5,0.1045,1
344,0,,19,1,8,0.69,1,0.2,1,5,0.0896,1
345,0,,19,0,9,0.75,0,0.24,1,5,0.1343,1
346,0,,19,0,10,0.81,0,0.26,1,5,0.194,1
347,0,,19,0,11,0.65,0,0.32,1,5,0.194,1
348,0,,19,0,12,0.5,0,0.36,1,5,0.194,1
349,0,,19,0,13,0.5,0,0.36,1,5,0.2239,1
350,0,,19,0,14,0.43,0,0.4,1,5,0.194,1
351,0,,19,0,15,0.47,0,0.4,1,5,0.1642,1
352,3,,20,-1,16,0.54,2,0.38,1,5,0.194,1
353,1,,21,-1,17,0.57,0,0.34,1,5,0.1642,1
354,0,,21,0,18,0.46,0,0.36,1,5,0.1343,1
355,0,,21,0,19,0.53,0,0.34,1,5,0.0896,1
356,0,,21,0,20,0.61,0,0.32,1,5,0.1343,1
357,0,,21,0,21,0.75,0,0.3,1,5,0.1642,1
358,0,,21,0,22,0.75,0,0.28,1,5,0.1045,1
359,0,,21,0,23,0.75,0,0.28,1,5,0.0896,1
360,0,,20,0,0,0.52,0,0.28,2,4,0.2239,1
361,0,,20,0,1,0.52,0,0.28,2,4,0.2836,1
362,0,,20,0,2,0.56,0,0.26,2,4,0.2537,1
363,0,,20,0,3,0.56,0,0.26,2,4,0.2836,1
364,0,,20,0,4,0.56,0,0.26,2,4,0.194,1
365,0,,20,0,5,0.56,0,0.26,2,4,0.1642,1
366,0,,20,0,6,0.56,0,0.26,1,4,0.2537,1
367,0,,20,0,7,0.6,0,0.24,1,4,0.2239,1
368,0,,20,0,8,0.6,0,0.24,1,4,0.194,1
369,0,,20,0,9,0.52,0,0.28,1,4,0.2537,1
370,0,,20,0,10,0.45,0,0.32,1,4,0.2836,1
371,0,,20,0,11,0.42,0,0.34,1,4,0.2537,1
372,0,,20,0,12,0.4,0,0.36,1,4,0.2537,1
373,0,,20,0,13,0.34,0,0.36,1,4,0.194,1
374,0,,20,0,14,0.34,0,0.36,1,4,0.1642,1
375,0,,20,0,15,0.34,0,0.36,1,4,0.1343,1
376,0,,20,0,16,0.39,0,0.34,1,4,0.1045,1
377,0,,20,0,17,0.42,0,0.32,1,4,0.1045,1
378,0,,20,0,18,0.42,0,0.32,1,4,0.1045,1
379,0,,20,0,19,0.45,0,0.3,1,4,0.1642,1
380,0,,20,0,20,0.45,0,0.3,1,4,0,1
381,0,,20,0,21,0.48,0,0.28,1,4,0,1
382,0,,20,0,22,0.6,0,0.26,1,4,0.0896,1
383,0,,20,0,23,0.6,0,0.26,1,4,0,1
384,0,,20,0,0,0.52,0,0.3,1,3,0.1642,1
385,0,,20,0,1,0.61,0,0.28,1,3,0.2239,1
386,0,,20,0,2,0.56,0,0.28,1,3,0.1642,1
387,0,,20,0,3,0.6,0,0.26,1,3,0.1343,1
388,0,,20,0,4,0.6,0,0.26,1,3,0,1
389,0,,20,0,5,0.6,0,0.26,1,3,0.194,1
390,0,,20,0,6,0.6,0,0.26,2,3,0.2537,1
391,0,,20,0,7,0.6,0,0.26,2,3,0.194,1
392,1,,21,-1,8,0.65,0,0.26,2,3,0.1642,1
393,0,,21,0,9,0.61,0,0.28,2,3,0.1343,1
394,0,,21,0,10,0.56,0,0.3,2,3,0.1642,1
395,0,,21,0,11,0.49,0,0.32,2,3,0.2239,1
396,0,,21,0,12,0.42,0,0.34,2,3,0,1
397,0,,21,0,13,0.42,0,0.34,2,3,0,1
398,0,,19,2,14,0.46,2,0.34,2,3,0,1
399,0,,19,0,15,0.46,0,0.34,2,3,0.1045,1
400,0,,19,0,16,0.46,0,0.34,2,3,0.1343,1
401,2,,21,-2,17,0.53,0,0.32,2,3,0.2239,1
402,0,,21,0,18,0.49,0,0.32,2,3,0.2239,1
403,0,,20,1,19,0.56,1,0.3,2,3,0.2239,1
404,0,,20,0,20,0.52,0,0.3,1,3,0.2836,1
405,0,,19,1,21,0.52,1,0.3,2,3,0.2537,1
406,0,,19,0,22,0.52,0,0.3,2,3,0.2239,1
407,0,,19,0,23,0.56,0,0.28,2,3,0.2239,1
408,0,,20,0,0,0.77,0,0.46,3,2,0.4627,1
409,0,,20,0,1,0.71,0,0.42,1,2,0.4478,1
410,0,,20,0,2,0.66,0,0.4,2,2,0.3284,1
411,0,,20,0,3,0.76,0,0.36,3,2,0.2836,1
412,0,,20,0,4,0.76,0,0.34,2,2,0.2836,1
413,0,,19,1,5,0.71,1,0.34,3,2,0.3284,1
414,0,,19,0,6,0.71,0,0.34,2,2,0.2985,1
415,0,,19,0,7,0.66,0,0.34,1,2,0.4179,1
416,1,,20,-1,8,0.61,0,0.34,2,2,0.2985,1
417,0,,20,0,9,0.61,0,0.34,1,2,0.3881,1
418,0,,20,0,10,0.57,0,0.36,1,2,0.3284,1
419,1,,21,-1,11,0.53,0,0.36,2,2,0.3582,1
420,0,,21,0,12,0.53,0,0.36,2,2,0.4478,1
421,0,,21,0,13,0.5,0,0.38,2,2,0.2239,1
422,0,,21,0,14,0.5,0,0.38,2,2,0.2239,1
423,0,,21,0,15,0.5,0,0.38,2,2,0.2239,1
424,0,,21,0,16,0.5,0,0.38,2,2,0.2239,1
425,1,,21,0,17,0.53,1,0.32,1,2,0.2239,1
426,2,,23,-2,18,0.53,0,0.32,1,2,0.2239,1
427,0,,23,0,19,0.53,0,0.32,1,2,0.2239,1
428,0,,23,0,20,0.53,0,0.32,1,2,0.2239,1
429,0,,23,0,21,0.53,0,0.32,1,2,0.194,1
430,1,,24,-1,22,0.56,0,0.3,1,2,0.2239,1
431,0,,24,0,23,0.52,0,0.3,1,2,0.2239,1
432,0,,20,0,0,1,0,0.36,3,1,0.0896,1
433,0,,20,0,1,1,0,0.36,2,1,0,1
434,0,,20,0,2,0.94,0,0.38,2,1,0.1045,1
435,0,,20,0,3,0.94,0,0.38,2,1,0.1045,1
436,0,,20,0,4,0.94,0,0.38,2,1,0.1045,1
437,0,,20,0,5,0.94,0,0.38,2,1,0.1045,1
438,0,,20,0,6,0.94,0,0.38,2,1,0.1642,1
439,0,,20,0,7,0.94,0,0.38,2,1,0.2537,1
440,0,,20,0,8,1,0,0.42,2,1,0.2537,1
441,0,,20,0,9,1,0,0.42,2,1,0.2239,1
